DATE,DEPOSITS,WITHDRAWALS,NOTE,,ENDING BALANCE
08/04/2021,431.14,,VENMO CASHOUT,,5219
08/09/2021,,-58,ZELLE,,5161
08/10/2021,65.3,,VENMO CASHOUT,,5226.3
08/16/2021,4104,,DEPOSIT,,9330.3
08/18/2021,,-709,CAMPUS CIRCLE,,8621.3
08/18/2021,,-1000,VANGUARD,,7621.3
08/19/2021,300,,ZELLE,,7921.3
08/23/2021,,-9.61,APPLECARD,,7911.69
08/25/2021,,-963.16,VENMO REPAYMENT,,6948.53
09/02/2021,,-709,CAMPUS CIRCLE,,6239.53
09/03/2021,1350.81,,UNIVERSITY OF FL,,7590.34
09/07/2021,,-297.52,DISCOVER,,7292.82
09/08/2021,500,,YOTTA,,7792.82
09/10/2021,40.2,,UNIVERSITY OF FL,,7833.02
09/14/2021,100,,ZELLE,,7933.02
09/17/2021,38.59,,UNIVERSITY OF FL,,7971.61
09/17/2021,,-182.1,APPLECARD,,7789.51
09/20/2021,5,,ZELLE,,7794.51
09/24/2021,123.1,,UNIVERSITY OF FL,,7917.61
09/28/2021,378.21,,VENMO CASHOUT,,8295.82
09/28/2021,,-86.15,DISCOVER,,8209.67
09/28/2021,,-610.58,VENMO REPAYMENT,,7599.09
09/30/2021,61.65,,VENMO CASHOUT,,7660.74
10/01/2021,,-710.89,CAMPUS CIRCLE,,6949.85
10/05/2021,500,,YOTTA,,7449.85
10/08/2021,149.7,,UNIVERSITY OF FL,,7599.55
10/14/2021,,-638.13,UNIVERSITY OF FL,,6961.42
10/22/2021,159.6,,UNIVERSITY OF FL,,7121.02
10/26/2021,154,,VENMO CASHOUT,,7275.02
10/27/2021,,-124.93,APPLECARD,,7150.09
10/27/2021,,-1154.46,VENMO REPAYMENT,,5995.63
11/01/2021,,-783.16,CAMPUS CIRCLE,,5212.47
11/03/2021,500,,YOTTA,,5712.47
11/05/2021,117.9,,UNIVERSITY OF FL,,5830.37
11/08/2021,,-107.86,DISCOVER,,5722.51
11/19/2021,234.4,,UNIVERSITY OF FL,,5956.91
11/19/2021,467.03,,UNIVERSITY OF FL,,6423.94
11/24/2021,,-116.67,APPLECARD,,6307.27
11/26/2021,50,,ZELLE,,6357.27
11/26/2021,750,,ZELLE,,7107.27
11/29/2021,500,,ZELLE,,7607.27
12/01/2021,,-149.74,DISCOVER,,7457.53
12/02/2021,,-784.48,CAMPUS CIRCLE,,6673.05
12/03/2021,81.6,,UNIVERSITY OF FL,,6754.65
12/03/2021,250,,YOTTA,,7004.65
12/06/2021,200,,VENMO CASHOUT,,7204.65
12/06/2021,,-1797.76,VENMO REPAYMENT,,5406.89
12/17/2021,152.9,,UNIVERSITY OF FL,,5559.79
12/17/2021,,-850.84,UNIVERSITY OF FL,,4708.95
